"POINTID","Revisited_point","Coarse","Clay","Sand","Silt","Soil_Stones","Elevation","pH_CaCl2","pH_H20","EC","OC","CaCO3","P","N","K","LC","LU","NUTS_0","NUTS_1","NUTS_2","NUTS_3"
26581768,"No",NA,NA,NA,NA,1,158,6.9,7.24,18.14,24.6,34,24.3,2.9,245.6,"E20","U111","PT","PT1","PT15","PT150"
26581792,"No",NA,NA,NA,NA,1,500,5.4,5.81,14.81,21.9,0,3.4,2.3,150,"D20","U410","PT","PT1","PT15","PT150"
26581954,"No",NA,NA,NA,NA,1,404,7,7.29,28.1,18.4,46,56.5,2.1,505.2,"E30","U112","PT","PT1","PT17","PT170"
26601784,"No",NA,NA,NA,NA,1,364,4.4,5.17,5.37,48,0,5.6,3.3,103.8,"D10","U120","PT","PT1","PT15","PT150"
26601978,"No",NA,NA,NA,NA,2,315,7.1,7.38,21.6,25.2,0,7.2,2.1,174.6,"C10","U120","PT","PT1","PT17","PT170"
26701780,"No",NA,NA,NA,NA,1,137,4.4,5.06,6.69,16.4,0,0,1.9,74.4,"D10","U120","PT","PT1","PT15","PT150"
26702014,"No",NA,NA,NA,NA,1,131,5.5,5.92,6.08,14.2,0,9.4,1.1,126.8,"C10","U120","PT","PT1","PT16","PT16B"
26741814,"No",NA,NA,NA,NA,1,137,4.9,5.64,6.85,16.8,0,28.1,1.7,103.8,"E20","U111","PT","PT1","PT18","PT181"
26741986,"No",NA,NA,NA,NA,1,514,7.4,7.95,20.8,8.2,285,14,1.1,240.2,"B82","U111","PT","PT1","PT16","PT16B"
26761768,"No",NA,NA,NA,NA,1,232,7.1,7.56,18.84,38.9,70,49.2,3.8,645.2,"E10","U111","PT","PT1","PT15","PT150"
26761786,"No",NA,NA,NA,NA,1,377,4.3,4.93,4.38,26.3,0,4.2,2,80.4,"B75","U111","PT","PT1","PT15","PT150"
26761804,"No",NA,NA,NA,NA,1,152,4.8,5.49,7.84,18.7,2,5.3,1.4,49.5,"C10","U120","PT","PT1","PT18","PT181"
26761864,"No",NA,NA,NA,NA,1,570,4.3,5.25,3.88,6.3,0,0,0.4,56.6,"C22","U120","PT","PT1","PT18","PT181"
26761998,"No",NA,NA,NA,NA,1,168,4.1,4.65,4.11,14.4,0,0,0.6,27.7,"C10","U120","PT","PT1","PT16","PT16B"
