"POINTID","Elevation","Coarse","Clay","Sand","Silt","Soil_Stones","pH_CaCl2","pH_H20","EC","OC","CaCO3","P","N","K","LC","LU","NUTS_0","NUTS_1","NUTS_2","NUTS_3","LC0_Desc.x","Revisited_point","BD.0.10","BD.10.20","BD.20.30","BD.0.20","BDsample_0","coarse_mas","BDfine_0_2","coarse_vol"
26581768,158,NA,NA,NA,NA,1,6.9,7.24,18.14,24.6,34,24.3,2.9,245.6,"E20","U111","PT","PT1","PT15","PT150","Grassland","No",1.133,NA,NA,NA,1.133,0.14,1.03768688200935,0.061007692307692
26581792,500,NA,NA,NA,NA,1,5.4,5.81,14.81,21.9,0,3.4,2.3,150,"D20","U410","PT","PT1","PT15","PT150","Shrubland","No",NA,NA,NA,NA,NA,NA,NA,NA
26581954,404,NA,NA,NA,NA,1,7,7.29,28.1,18.4,46,56.5,2.1,505.2,"E30","U112","PT","PT1","PT17","PT170","Grassland","No",NA,NA,NA,NA,NA,NA,NA,NA
26601784,364,NA,NA,NA,NA,1,4.4,5.17,5.37,48,0,5.6,3.3,103.8,"D10","U120","PT","PT1","PT15","PT150","Shrubland","No",NA,NA,NA,NA,NA,NA,NA,NA
26601978,315,NA,NA,NA,NA,2,7.1,7.38,21.6,25.2,0,7.2,2.1,174.6,"C10","U120","PT","PT1","PT17","PT170","Woodland","No",NA,NA,NA,NA,NA,NA,NA,NA
26701780,137,NA,NA,NA,NA,1,4.4,5.06,6.69,16.4,0,0,1.9,74.4,"D10","U120","PT","PT1","PT15","PT150","Shrubland","No",NA,NA,NA,NA,NA,NA,NA,NA
26702014,131,NA,NA,NA,NA,1,5.5,5.92,6.08,14.2,0,9.4,1.1,126.8,"C10","U120","PT","PT1","PT16","PT16B","Woodland","No",NA,NA,NA,NA,NA,NA,NA,NA
26741814,137,NA,NA,NA,NA,1,4.9,5.64,6.85,16.8,0,28.1,1.7,103.8,"E20","U111","PT","PT1","PT18","PT181","Grassland","No",1.223,1.439,1.523,1.331,1.331,0.05,1.29766523910083,0.025596153846154
26741986,514,NA,NA,NA,NA,1,7.4,7.95,20.8,8.2,285,14,1.1,240.2,"B82","U111","PT","PT1","PT16","PT16B","Cropland","No",NA,NA,NA,NA,NA,NA,NA,NA
26761768,232,NA,NA,NA,NA,1,7.1,7.56,18.84,38.9,70,49.2,3.8,645.2,"E10","U111","PT","PT1","PT15","PT150","Grassland","No",NA,NA,NA,NA,NA,NA,NA,NA
26761786,377,NA,NA,NA,NA,1,4.3,4.93,4.38,26.3,0,4.2,2,80.4,"B75","U111","PT","PT1","PT15","PT150","Cropland","No",1.083,1.063,0.876,1.073,1.073,0.24,0.905129606229296,0.099046153846154
26761804,152,NA,NA,NA,NA,1,4.8,5.49,7.84,18.7,2,5.3,1.4,49.5,"C10","U120","PT","PT1","PT18","PT181","Woodland","No",NA,NA,NA,NA,NA,NA,NA,NA
26761864,570,NA,NA,NA,NA,1,4.3,5.25,3.88,6.3,0,0,0.4,56.6,"C22","U120","PT","PT1","PT18","PT181","Woodland","No",NA,NA,NA,NA,NA,NA,NA,NA
26761998,168,NA,NA,NA,NA,1,4.1,4.65,4.11,14.4,0,0,0.6,27.7,"C10","U120","PT","PT1","PT16","PT16B","Woodland","No",NA,NA,NA,NA,NA,NA,NA,NA
26762002,294,NA,NA,NA,NA,1,6.4,6.66,3.86,3.4,1,8.6,0.4,88.2,"B72","U111","PT","PT1","PT16","PT16B","Cropland","No",1.303,1.536,NA,1.42,1.4195,0.12,1.33673682737502,0.065515384615385
26781816,441,NA,NA,NA,NA,1,4.1,5.27,4.54,25.9,0,0,2.2,86.9,"C10","U120","PT","PT1","PT18","PT181","Woodland","No",NA,NA,NA,NA,NA,NA,NA,NA
26802028,201,NA,NA,NA,NA,1,6.1,6.53,4.46,4.7,0,6.1,0.4,26.6,"C10","U120","PT","PT1","PT16","PT16B","Woodland","No",NA,NA,NA,NA,NA,NA,NA,NA
26821846,68,NA,NA,NA,NA,1,4.8,5.37,8.2,19.4,0,9.8,2.4,75.7,"E10","U111","PT","PT1","PT18","PT181","Grassland","No",NA,NA,NA,NA,NA,NA,NA,NA
26841758,233,NA,NA,NA,NA,1,7.3,7.75,21.5,37.3,11,6.7,1.2,176.3,"F40","U112","PT","PT1","PT15","PT150","Bareland","No",NA,NA,NA,NA,NA,NA,NA,NA
26841764,89,NA,NA,NA,NA,4,7.4,7.56,24.9,50,148,12.4,3.9,736.9,"B84","U111","PT","PT1","PT15","PT150","Cropland","No",1.021,1.036,0.996,1.029,1.0285,0.12,0.950184528664529,0.047469230769231
26841826,141,NA,NA,NA,NA,4,6.5,6.6,19.95,15.6,9,11.7,1.7,79.3,"F40","U111","PT","PT1","PT18","PT181","Bareland","No",NA,NA,NA,NA,NA,NA,NA,NA
26841836,259,NA,NA,NA,NA,2,5.3,5.86,17.04,34.3,0,13.1,3.7,139.7,"E20","U111","PT","PT1","PT18","PT181","Grassland","No",NA,NA,NA,NA,NA,NA,NA,NA
26841944,300,NA,NA,NA,NA,1,6.1,6.48,3.58,5.7,0,31.2,0.6,24.3,"E30","U112","PT","PT1","PT17","PT170","Grassland","No",NA,NA,NA,NA,NA,NA,NA,NA
26881938,598,NA,NA,NA,NA,1,4.9,5.59,6.92,17.6,0,9.6,1.4,92.8,"C10","U120","PT","PT1","PT17","PT170","Woodland","No",1.273,1.199,1.283,1.236,1.236,0.11,1.16073765036282,0.052292307692308
26921850,441,NA,NA,NA,NA,1,5.5,5.84,8.34,12.1,0,7.2,1.2,59.4,"E20","U111","PT","PT1","PT18","PT181","Grassland","No",NA,NA,NA,NA,NA,NA,NA,NA
