"LC_2015","LC0_Desc_2015","LC1_Desc_2015"
"A22","Artificial land","Non built-up linear features"
"A30","Artificial land","Other artificial areas"
"B11","Cropland","Common wheat"
"B12","Cropland","Durum wheat"
"B13","Cropland","Barley"
"B14","Cropland","Rye"
"B15","Cropland","Oats"
"B16","Cropland","Maize"
"B17","Cropland","Rice"
"B18","Cropland","Triticale"
"B19","Cropland","Other cereals"
"B21","Cropland","Potatoes"
"B22","Cropland","Sugar beet"
"B23","Cropland","Other root crops"
"B31","Cropland","Sunflower"
"B32","Cropland","Rape and turnip rape"
"B33","Cropland","Soya"
"B34","Cropland","Cotton"
"B35","Cropland","Other fibre and oleaginous crops"
"B36","Cropland","Tobacco"
"B37","Cropland","Other non-permanent industrial crops"
"B41","Cropland","Dry pulses"
"B42","Cropland","Tomatoes"
"B43","Cropland","Other fresh vegetables"
"B44","Cropland","Floriculture and ornamental plants"
"B45","Cropland","Strawberries"
"B51","Cropland","Clovers"
"B52","Cropland","Lucerne"
"B53","Cropland","Other Leguminous  and mixtures for fodder"
"B54","Cropland","Mix of cereals"
"B55","Cropland","Temporary grassland"
"B71","Cropland","Apple fruit"
"B72","Cropland","Pear fruit"
"B73","Cropland","Cherry fruit"
"B74","Cropland","Nuts trees"
"B75","Cropland","Other fruit trees and berries"
"B76","Cropland","Oranges"
"B77","Cropland","Other citrus fruit"
"B81","Cropland","Olive groves"
"B82","Cropland","Vineyards"
"B83","Cropland","Nurseries"
"B84","Cropland","Permanent industrial crops"
"C10","Woodland","Broadleaved woodland"
"C21","Woodland","Spruce dominated coniferous woodland"
"C22","Woodland","Pine dominated coniferous woodland"
"C23","Woodland","Other coniferous woodland"
"C31","Woodland","Spruce dominated mixed woodland"
"C32","Woodland","Pine dominated mixed woodland"
"C33","Woodland","Other mixed woodland"
"D10","Shrubland","Shrubland with sparse tree cover"
"D20","Shrubland","Shrubland without tree cover"
"E10","Grassland","Grassland with sparse tree/shrub cover"
"E20","Grassland","Grassland without tree/shrub cover"
"E30","Grassland","Spontaneously re-vegetated surfaces"
"F10","Bareland","Rocks and stones"
"F20","Bareland","Sand"
"F30","Bareland","Lichens and Moss"
"F40","Bareland","Other bare soil"
"G21","Water","Inland fresh running water"
"H11","Wetlands","Inland marshes"
"H12","Wetlands","Peatbogs"
"H22","Wetlands","Salines"
