"POINTID_2015","POINTID_2018","SURVEY_DATE","Revisited_point","Elevation","Coarse","Clay","Sand","Silt","pH_CaCl2_2015","pH_CaCl2_2018","pH_H20","pH_H2O","EC_2015","EC_2018","OC_2015","OC_2018","OC..20.30.cm.","CaCO3_2015","CaCO3_2018","CaCO3..20.30.cm.","P_2015","P_2018","N_2015","N_2018","K_2015","K_2018","LC_2015","LC_2018","LU_2015","LU_2018","NUTS_0_2015","NUTS_0_2018","NUTS_1_2015","NUTS_1_2018","NUTS_2_2015","NUTS_2_2018","NUTS_3_2015","NUTS_3_2018","Soil_Stones","Depth","Ox_Al","Ox_Fe","Elev","TH_LAT","TH_LONG"
26581768,26581768,"29-05-18","No",158,NA,NA,NA,NA,6.9,6.9,7.24,7.47,18.14,19.44,24.6,"28.2","",34,"204",NA,24.3,"40.3",2.9,"3",245.6,"448.1","E20","E20","U111","U111","PT","PT","PT1","PT1","PT15","PT15","PT150","PT150",1,"0-20 cm",NA,NA,111,37.13910423,-8.775251839
26581792,26581792,"04-07-18","No",500,NA,NA,NA,NA,5.4,5.8,5.81,6.51,14.81,11.07,21.9,"33.5","",0,NA,NA,3.4,"< LOD",2.3,"3",150,"182.8","D20","D20","U410","U420","PT","PT","PT1","PT1","PT15","PT15","PT150","PT150",1,"0-20 cm",0.5,3.2,78,37.34974664,-8.833727843
26581954,26581954,"02-08-18","No",404,NA,NA,NA,NA,7,7,7.29,7.58,28.1,15.71,18.4,"13.7","",46,"10",NA,56.5,"31.2",2.1,"1.4",505.2,"461.7","E30","E30","U112","U112","PT","PT","PT1","PT1","PT17","PT17","PT170","PT170",1,"0-20 cm",NA,NA,250,38.76853116,-9.24209186
26601784,26601784,"04-07-18","No",364,NA,NA,NA,NA,4.4,4.5,5.17,5.54,5.37,5.61,48,"52.1","",0,NA,NA,5.6,"< LOD",3.3,"3.6",103.8,"161.1","D10","D10","U120","U120","PT","PT","PT1","PT1","PT15","PT15","PT150","PT150",1,"0-20 cm",NA,NA,145,37.28397193,-8.792255364
26601978,26601978,"25-07-18","No",315,NA,NA,NA,NA,7.1,6.8,7.38,7.28,21.6,16.39,25.2,"23.1","",0,"10",NA,7.2,"< LOD",2.1,"2.1",174.6,"192.2","C10","C10","U120","U120","PT","PT","PT1","PT1","PT17","PT17","PT170","PT170",2,"0-20 cm",NA,NA,156,38.98282746,-9.282250124
26702014,26702014,"29-06-18","No",131,NA,NA,NA,NA,5.5,5,5.92,5.81,6.08,7.89,14.2,"17.9","",0,"1",NA,9.4,"11.4",1.1,"1.3",126.8,"141.9","C10","C10","U120","U120","PT","PT","PT1","PT1","PT16","PT16","PT16B","PT16B",1,"0-20 cm",NA,NA,211,39.32008061,-9.264401983
26741814,26741814,"12-05-18","No",137,NA,NA,NA,NA,4.9,4.4,5.64,5.15,6.85,8.52,16.8,"8.5","5.2",0,NA,NA,28.1,"31.8",1.7,"0.9",103.8,"24.3","E20","B55","U111","U111","PT","PT","PT1","PT1","PT18","PT18","PT181","PT181",1,"0-20 cm",1.1,4,129,37.57816004,-8.711708338
26741986,26741986,"19-07-18","No",514,NA,NA,NA,NA,7.4,7.1,7.95,7.91,20.8,18.15,8.2,"10.5","",285,"243",NA,14,"14.1",1.1,"1.2",240.2,"275.7","B82","B82","U111","U111","PT","PT","PT1","PT1","PT16","PT16","PT16B","PT16B",1,"0-20 cm",0.5,1,215,39.08451978,-9.145973845
26761768,26761768,"25-05-18","No",232,NA,NA,NA,NA,7.1,6.9,7.56,7.72,18.84,18.39,38.9,"53.6","",70,"56",NA,49.2,"44.5",3.8,"4.6",645.2,"622.5","E10","E20","U111","U111","PT","PT","PT1","PT1","PT15","PT15","PT150","PT150",1,"0-20 cm",NA,NA,59,37.17866631,-8.578214406
26761786,26761786,"25-05-18","No",377,NA,NA,NA,NA,4.3,4.3,4.93,4.99,4.38,7.83,26.3,"48.1","46.8",0,NA,NA,4.2,"< LOD",2,"2.4",80.4,"121","B75","B75","U111","U111","PT","PT","PT1","PT1","PT15","PT15","PT150","PT150",1,"0-20 cm",NA,NA,430,37.33676436,-8.621613437
26761804,26761804,"06-07-18","No",152,NA,NA,NA,NA,4.8,4.2,5.49,5.14,7.84,5.18,18.7,"26.2","",2,"1",NA,5.3,"< LOD",1.4,"1.5",49.5,"57.6","C10","C10","U120","U120","PT","PT","PT1","PT1","PT18","PT18","PT181","PT181",1,"0-20 cm",NA,NA,244,37.49479743,-8.66529655
26761864,26761864,"27-06-18","No",570,NA,NA,NA,NA,4.3,4.5,5.25,5.42,3.88,3.29,6.3,"7.2","5.7",0,NA,NA,0,"< LOD",0.4,"0.5",56.6,"22.1","C22","C22","U120","U120","PT","PT","PT1","PT1","PT18","PT18","PT181","PT181",1,"0-20 cm",NA,NA,78,38.02110541,-8.812989762
26761998,26761998,"18-07-18","No",168,NA,NA,NA,NA,4.1,3.8,4.65,4.87,4.11,5.97,14.4,"22.8","",0,"1",NA,0,"< LOD",0.6,"1",27.7,"49.3","C10","C10","U120","U120","PT","PT","PT1","PT1","PT16","PT16","PT16B","PT16B",1,"0-20 cm",NA,NA,171,39.19392373,-9.154804085
26762002,26762002,"18-07-18","No",294,NA,NA,NA,NA,6.4,7,6.66,7.68,3.86,12.41,3.4,"8.6","",1,"7",NA,8.6,"54",0.4,"0.7",88.2,"204.5","B72","B72","U111","U111","PT","PT","PT1","PT1","PT16","PT16","PT16B","PT16B",1,"0-20 cm",NA,NA,103,39.22887796,-9.16526974
26781816,26781816,"03-07-18","No",441,NA,NA,NA,NA,4.1,4.1,5.27,5.12,4.54,6.36,25.9,"53.6","",0,"2",NA,0,"< LOD",2.2,"3.3",86.9,"65.1","C10","C22","U120","U120","PT","PT","PT1","PT1","PT18","PT18","PT181","PT181",1,"0-20 cm",NA,NA,105,37.60451843,-8.67255033
26802028,26802028,"21-06-18","No",201,NA,NA,NA,NA,6.1,5,6.53,5.76,4.46,5.62,4.7,"3","",0,"1",NA,6.1,"< LOD",0.4,"0.2",26.6,"32.4","C10","C10","U120","U120","PT","PT","PT1","PT1","PT16","PT16","PT16B","PT16B",1,"0-20 cm",NA,NA,125,39.46508987,-9.188492044
26821846,26821846,"28-06-18","No",68,NA,NA,NA,NA,4.8,5,5.37,5.53,8.2,10.21,19.4,"20.7","",0,NA,NA,9.8,"< LOD",2.4,"2.4",75.7,"59.1","E10","B15","U111","U111","PT","PT","PT1","PT1","PT18","PT18","PT181","PT181",1,"0-20 cm",NA,NA,210,37.87653787,-8.702020387
26841764,26841764,"30-05-18","No",89,NA,NA,NA,NA,7.4,7.1,7.56,7.79,24.9,23.3,50,"48.9","36.7",148,"124",126,12.4,"< LOD",3.9,"3.5",736.9,"643.7","B84","B84","U111","U111","PT","PT","PT1","PT1","PT15","PT15","PT150","PT150",4,"0-20 cm",1.2,2.2,66,37.16096582,-8.481015615
26841826,26841826,"10-07-18","No",141,NA,NA,NA,NA,6.5,4.7,6.6,5.46,19.95,5.2,15.6,"15.5","",9,NA,NA,11.7,"10.8",1.7,"1.7",79.3,"49.3","F40","B11","U111","U111","PT","PT","PT1","PT1","PT18","PT18","PT181","PT181",4,"0-20 cm",1.2,4,185,37.70546324,-8.630849544
26841944,26841944,"06-07-18","No",300,NA,NA,NA,NA,6.1,4.6,6.48,4.87,3.58,10.18,5.7,"4.3","",0,NA,NA,31.2,"60.4",0.6,"0.6",24.3,"36.7","E30","B21","U112","U111","PT","PT","PT1","PT1","PT17","PT17","PT170","PT170",1,"0-20 cm",NA,NA,57,38.73964766,-8.925556639
26881938,26881938,"06-07-18","No",598,NA,NA,NA,NA,4.9,4.5,5.59,5.28,6.92,11.125,17.6,"10.4","17.9",0,NA,NA,9.6,"< LOD",1.4,"0.85",92.8,"99.75","C10","C10","U120","U120","PT","PT","PT1","PT1","PT17","PT17","PT170","PT170",1,"0-20 cm",NA,NA,66,38.69604951,-8.865543872
26921850,26921850,"29-06-18","No",441,NA,NA,NA,NA,5.5,5.3,5.84,6.07,8.34,5.81,12.1,"14.2","",0,NA,NA,7.2,"< LOD",1.2,"1.4",59.4,"55.4","E20","E20","U111","U111","PT","PT","PT1","PT1","PT18","PT18","PT181","PT181",1,"0-20 cm",NA,NA,161,37.93361456,-8.601248224
26921874,26921874,"19-06-18","No",146,NA,NA,NA,NA,5.6,5.2,5.97,6.17,4.49,4.8,20.4,"19.2","",0,"1",NA,5,"< LOD",1.7,"1.4",167.5,"209.3","C10","C10","U120","U120","PT","PT","PT1","PT1","PT18","PT18","PT181","PT181",1,"0-20 cm",NA,NA,311,38.14413084,-8.660429092
26941804,26941804,"08-07-18","No",642,NA,NA,NA,NA,5.3,5.1,5.91,6.01,4.7,6.65,20.5,"27.1","",0,"1",NA,4.1,"< LOD",2,"2.3",196.7,"237.9","C10","C10","U120","U120","PT","PT","PT1","PT1","PT18","PT18","PT181","PT181",1,"0-20 cm",NA,NA,197,37.53415879,-8.4672418
26941810,26941810,"09-07-18","No",550,NA,NA,NA,NA,4.4,4.5,5.13,5.38,5.32,8,25,"31.1","",0,"1",NA,4.1,"< LOD",2.2,"2.4",101.7,"135.3","C10","C10","U120","U120","PT","PT","PT1","PT1","PT18","PT18","PT181","PT181",1,"0-20 cm",NA,NA,175,37.58685722,-8.481727657
26942016,26942016,"16-08-18","No",288,NA,NA,NA,NA,4.2,3.9,4.85,4.49,5.41,5.89,15.3,"15","",0,NA,NA,5,"< LOD",1.1,"1.2",37.3,"38.2","C10","C10","U120","U120","PT","PT","PT1","PT1","PT16","PT16","PT16B","PT16B",4,"0-20 cm",NA,NA,242,39.39184536,-8.998901767
