"POINTID","SURVEY_DATE","Depth","pH_CaCl2","pH_H2O","EC","OC","OC..20.30.cm.","CaCO3","CaCO3..20.30.cm.","P","N","K","Ox_Al","Ox_Fe","Elev","NUTS_0","NUTS_1","NUTS_2","NUTS_3","TH_LAT","TH_LONG","LC","LU"
26521970,"01-08-18","0-20 cm",7.1,7.75,16.83,"19","","190",NA,"< LOD","1.8","461.7",NA,NA,181,"PT","PT1","PT17","PT170",38.89468135,-9.350968161,"E20","U111"
26581768,"29-05-18","0-20 cm",6.9,7.47,19.44,"28.2","","204",NA,"40.3","3","448.1",NA,NA,111,"PT","PT1","PT15","PT150",37.13910423,-8.775251839,"E20","U111"
26581792,"04-07-18","0-20 cm",5.8,6.51,11.07,"33.5","",NA,NA,"< LOD","3","182.8",0.5,3.2,78,"PT","PT1","PT15","PT150",37.34974664,-8.833727843,"D20","U420"
26581954,"02-08-18","0-20 cm",7,7.58,15.71,"13.7","","10",NA,"31.2","1.4","461.7",NA,NA,250,"PT","PT1","PT17","PT170",38.76853116,-9.24209186,"E30","U112"
26601784,"04-07-18","0-20 cm",4.5,5.54,5.61,"52.1","",NA,NA,"< LOD","3.6","161.1",NA,NA,145,"PT","PT1","PT15","PT150",37.28397193,-8.792255364,"D10","U120"
26601978,"25-07-18","0-20 cm",6.8,7.28,16.39,"23.1","","10",NA,"< LOD","2.1","192.2",NA,NA,156,"PT","PT1","PT17","PT170",38.98282746,-9.282250124,"C10","U120"
26702014,"29-06-18","0-20 cm",5,5.81,7.89,"17.9","","1",NA,"11.4","1.3","141.9",NA,NA,211,"PT","PT1","PT16","PT16B",39.32008061,-9.264401983,"C10","U120"
26741814,"12-05-18","0-20 cm",4.4,5.15,8.52,"8.5","5.2",NA,NA,"31.8","0.9","24.3",1.1,4,129,"PT","PT1","PT18","PT181",37.57816004,-8.711708338,"B55","U111"
26741986,"19-07-18","0-20 cm",7.1,7.91,18.15,"10.5","","243",NA,"14.1","1.2","275.7",0.5,1,215,"PT","PT1","PT16","PT16B",39.08451978,-9.145973845,"B82","U111"
26761768,"25-05-18","0-20 cm",6.9,7.72,18.39,"53.6","","56",NA,"44.5","4.6","622.5",NA,NA,59,"PT","PT1","PT15","PT150",37.17866631,-8.578214406,"E20","U111"
26761786,"25-05-18","0-20 cm",4.3,4.99,7.83,"48.1","46.8",NA,NA,"< LOD","2.4","121",NA,NA,430,"PT","PT1","PT15","PT150",37.33676436,-8.621613437,"B75","U111"
26761804,"06-07-18","0-20 cm",4.2,5.14,5.18,"26.2","","1",NA,"< LOD","1.5","57.6",NA,NA,244,"PT","PT1","PT18","PT181",37.49479743,-8.66529655,"C10","U120"
