"POINTID","BDfine_0_2","coarse_vol","geometry"
26581768,1.03768688200935,0.061007692307692,c(-8.775251839, 37.13910423)
26741814,1.29766523910083,0.025596153846154,c(-8.711708338, 37.57816004)
26761786,0.905129606229296,0.099046153846154,c(-8.621613437, 37.33676436)
26762002,1.33673682737502,0.065515384615385,c(-9.16526974, 39.22887796)
26841764,0.950184528664529,0.047469230769231,c(-8.481015615, 37.16096582)
26881938,1.16073765036282,0.052292307692308,c(-8.865543872, 38.69604951)
26942016,0.988188338138576,0.062855769230769,c(-8.998901767, 39.39184536)
26962018,0.96435478839555,0.075288461538462,c(-8.981530426, 39.41382056)
27001882,1.40184800311259,0.016401923076923,c(-8.591381992, 38.23186429)
27021938,1.45284248564238,0.046338461538462,c(-8.708951935, 38.72710826)
27022016,1.264175101947,0.096438461538462,c(-8.908556192, 39.40977721)
27061758,1.20535837474834,0.043840384615385,c(-8.225788031, 37.15573516)
27061970,1.282,0,c(-8.745206354, 39.01619339)
27081828,1.11847588350409,0.1313,c(-8.370764946, 37.77534776)
27101814,1.23097382816339,0.060646153846154,c(-8.314985341, 37.65667873)
27161812,1.19821699314695,0.048711538461538,c(-8.244007388, 37.65202644)
27162028,0.655485541948773,0.114946153846154,c(-8.781341154, 39.54593442)
27181846,1.36102426082624,0.096834615384615,c(-8.303628792, 37.95506483)
27182008,1.40970360581461,0.022092307692308,c(-8.707174304, 39.37538276)
27201772,0.98475134145438,0.091471153846154,c(-8.105164104, 37.30884037)
27201962,1.26246872628117,0.179084615384615,c(-8.567653831, 38.97699355)
27202006,0.886599638204147,0.074063461538462,c(-8.679456518, 39.36230016)
27221822,0.937075886677535,0.187275,c(-8.201674106, 37.75280367)
27221858,1.41057389398713,0.087375,c(-8.288325177, 38.06908735)
27241758,1.03040557775699,0.095307692307692,c(-8.02847573, 37.1941453)
27241916,1.1274050161206,0.065934615384615,c(-8.408011888, 38.58247455)
27281940,1.2200365470131,0.019176923076923,c(-8.422782643, 38.80165119)
27302020,1.05247676238823,0.130223076923077,c(-8.602248621, 39.50689337)
27321748,0.94619950063444,0.060346153846154,c(-7.917530136, 37.12302697)
27321784,1.36996987216025,0.055307692307692,c(-8.001415407, 37.43994321)
27341920,1.06585058917744,0.1259,c(-8.306084154, 38.63924275)
27361846,0.760990236026755,0.199569230769231,c(-8.104139267, 37.99370508)
27382028,0.892073832790445,0.079,c(-8.532099306, 39.59450173)
27401804,1.19579170311709,0.164653846153846,c(-7.960229523, 37.63287273)
27401840,0.900787869840326,0.075159615384615,c(-8.04546633, 37.94949001)
27402128,1.45306611480231,0.011276923076923,c(-8.769787704, 40.47345671)
27421740,1.29962385814078,0.0695,c(-7.789523471, 37.07357074)
27421780,1.26803165994746,0.090819230769231,c(-7.882013906, 37.42587121)
27421902,1.35349974919713,0.037705769230769,c(-8.172593972, 38.49848408)
27461842,1.09171210377303,0.084392307692308,c(-7.983712405, 37.97982158)
27461892,1.2208967173739,0.039230769230769,c(-8.103666991, 38.41923153)
27462138,1.33788369905712,0.010392307692308,c(-8.72738882, 40.57415894)
27481828,0.906598407281001,0.188615384615385,c(-7.92837558, 37.86093134)
27481894,1.12410404134542,0.092076923076923,c(-8.086193948, 38.44107094)
27482128,0.908483540730405,0.170271153846154,c(-8.677925269, 40.49121854)
27501780,1.40696237684676,0.099776923076923,c(-7.793951199, 37.44268222)
27501802,1.08698315467075,0.18375,c(-7.845168807, 37.63637118)
27501892,1.14632587859425,0.036923076923077,c(-8.059040764, 38.4277697)
27522114,1.18873750459732,0.069273076923077,c(-8.595175679, 40.37768345)
27541792,1.21048777607181,0.1533,c(-7.777729769, 37.55673214)
27541810,0.864907241431441,0.109557692307692,c(-7.819694228, 37.71519302)
27541828,0.998961543872214,0.097773076923077,c(-7.861935525, 37.87359195)
27542110,1.24352298296368,0.0667,c(-8.561770601, 40.34711342)
27561812,1.16596948003974,0.245134615384615,c(-7.802264626, 37.73699578)
27561952,1.29441190176514,0.116873076923077,c(-8.138163986, 38.9673951)
27561988,0.829079788712816,0.10075,c(-8.22738568, 39.28318073)
27562118,1.38593214391751,0.073775,c(-8.559769342, 40.42146744)
27601794,1.21031554617626,0.081446153846154,c(-7.716184921, 37.5868922)
27641752,0.994330688643369,0.092278846153846,c(-7.575663712, 37.22513623)
27641896,1.1809936420413,0.042992307692308,c(-7.912367462, 38.49264562)
27661882,0.844451104490242,0.127338461538462,c(-7.856539308, 38.37380684)
27681946,1.109321528901,0.096384615384615,c(-7.988548455, 38.94034874)
27702222,0.976359356457794,0.011480769230769,c(-8.674812639, 41.36098366)
27722056,0.669575373321098,0.262338461538462,c(-8.216930883, 39.91368778)
27722228,1.0805085021296,0.053630769230769,c(-8.667760969, 41.41779435)
27722242,0.765953588588558,0.064636538461538,c(-8.705776471, 41.53997645)
27741830,0.981315675831294,0.144984615384615,c(-7.644974287, 37.93306867)
27741866,0.884295043357242,0.101826923076923,c(-7.729403411, 38.24989582)
27741890,1.20514849367799,0.064775,c(-7.786313911, 38.46097827)
27741908,1.08518982145277,0.049055769230769,c(-7.829328729, 38.61921895)
27742232,0.589901850131013,0.035619230769231,c(-8.655287129, 41.45714479)
27762242,0.512744423700501,0.021442307692308,c(-8.659084, 41.54886066)
27781794,1.20083217753121,0.133413461538462,c(-7.517479223, 37.62426656)
27781902,1.08552013284498,0.183548076923077,c(-7.770210409, 38.57488475)
27782284,0.956713426853707,0.02695,c(-8.75063462, 41.91971201)
27801810,0.625727903623358,0.187801923076923,c(-7.532160065, 37.76937439)
27821838,1.13012569585145,0.022365384615385,c(-7.574821012, 38.02012413)
27821886,0.942019551815199,0.201136538461539,c(-7.68746079, 38.44255539)
27841822,1.20963462281568,0.104192307692308,c(-7.51554572, 37.88335187)
27842206,0.923339744314968,0.1161,c(-8.46897261, 41.25214945)
27842416,0.905198922174671,0.029384615384615,c(-9.052521428, 43.082807)
27862032,1.06990006157344,0.187961538461538,c(-7.997159656, 39.73333602)
27881848,1.12567945643485,0.076184615384615,c(-7.53140522, 38.12060219)
27881938,0.914228811684001,0.130961538461538,c(-7.744310472, 38.91231073)
27882298,0.764338290521256,0.116667307692308,c(-8.671696186, 42.06407222)
27901954,1.13673663522342,0.082188461538462,c(-7.760376461, 39.05710362)
27902146,0.8288645641988,0.030565384615385,c(-8.241522697, 40.74060181)
27921800,0.790427746420466,0.058617307692308,c(-7.376471987, 37.70594423)
27921848,0.855394733785173,0.089478846153846,c(-7.486914425, 38.12886698)
27921970,0.89805331719161,0.145390384615385,c(-7.776581692, 39.20186454)
27922046,0.541004766322254,0.038123076923077,c(-7.963795322, 39.86889223)
27922096,0.588887678396339,0.117403846153846,c(-8.089911916, 40.30714232)
27922412,0.934644801863334,0.022430769230769,c(-8.945357554, 43.06614317)
27961830,0.902684810592129,0.163384615384615,c(-7.400866372, 37.97854304)
27962406,1.09476019094253,0.030719230769231,c(-8.880337636, 43.02295198)
27981972,1.11491874874247,0.187586538461538,c(-7.713670721, 39.23202797)
27982170,0.976320246767375,0.162088461538462,c(-8.211525863, 40.96790225)
27982368,0.712897210561044,0.195592307692308,c(-8.748552828, 42.69653039)
28001832,1.17821991920996,0.074048076923077,c(-7.361045307, 38.00436825)
28002400,1.23193539984371,0.077163461538462,c(-8.815422826, 42.97971315)
28022110,0.697807066621273,0.192248076923077,c(-8.010723245, 40.45120013)
28022146,1.02658893606235,0.028861538461538,c(-8.102979965, 40.76648479)
28022250,1.04944542678026,0.042923076923077,c(-8.376746755, 41.6759665)
28022380,1.0406639894482,0.085828846153846,c(-8.7348188, 42.81000969)
28042122,0.726385809312639,0.098,c(-8.018305845, 40.56059987)
28082380,0.977040234602024,0.133065384615385,c(-8.663349068, 42.82338984)
28082404,0.92142528594646,0.184725,c(-8.731238933, 43.03246402)
28101854,0.995507866792683,0.135240384615385,c(-7.300388487, 38.21867155)
28102060,0.558891408722299,0.116411538461538,c(-7.793248633, 40.02982153)
28102114,0.987920175767929,0.134348076923077,c(-7.928871831, 40.50330277)
28102420,0.796146274533198,0.032903846153846,c(-8.752898803, 43.1762671)
28122020,0.60284142113466,0.274469230769231,c(-7.671810213, 39.68293879)
28142050,0.497066705145119,0.253661538461538,c(-7.722771242, 39.95049214)
28142338,0.627854395711122,0.009961538461538,c(-8.474975549, 42.47048879)
28162332,0.858080003491696,0.118788461538461,c(-8.434749495, 42.42253976)
28181964,0.806165825699631,0.122271153846154,c(-7.468486588, 39.20333372)
28182048,0.8898833963232,0.092751923076923,c(-7.672168018, 39.94132617)
28201948,1.03340380549683,0.090384615384615,c(-7.407858387, 39.06673816)
28202116,1.20545968138516,0.159221153846154,c(-7.818808675, 40.54203908)
28202196,0.740125882804882,0.153975,c(-8.023889996, 41.24276057)
28222270,0.710637728181947,0.023215384615385,c(-8.19578408, 41.89422623)
28222378,0.681679309986491,0.0377,c(-8.490892704, 42.83697702)
28241938,0.878907676138145,0.165646153846154,c(-7.339146943, 38.98697265)
28242042,0.82737454993969,0.151823076923077,c(-7.588942545, 39.90118363)
28262056,0.631627057147232,0.259032692307692,c(-7.600453995, 40.0282755)
28262080,0.567145968742678,0.113561538461538,c(-7.659742483, 40.23892377)
28262098,0.464669421487603,0.106461538461538,c(-7.704563866, 40.39684159)
28262354,0.714792691065265,0.060580769230769,c(-8.376691089, 42.63643594)
28281952,1.16803135703399,0.004517307692308,c(-7.327065208, 39.11836279)
28282042,0.859451743233008,0.118955769230769,c(-7.543287973, 39.90950945)
28282136,0.529963803008667,0.073446153846154,c(-7.777096453, 40.73425467)
28282190,0.742987456755682,0.095590384615385,c(-7.915247279, 41.20732272)
28282334,0.683995733805566,0.044365384615385,c(-8.298033609, 42.46625999)
28301756,1.00488767964577,0.093167307692308,c(-6.858424314, 37.39430662)
28302282,0.761555275882626,0.187084615384615,c(-8.133780206, 42.01639763)
28322234,1.48784062285322,0.160192307692308,c(-7.983146225, 41.60096343)
28322424,0.872406295505775,0.035942307692308,c(-8.500435638, 43.26003306)
28342404,0.685908063300678,0.037925,c(-8.420203055, 43.09010229)
28362148,0.75462539265024,0.115355769230769,c(-7.714967797, 40.85629928)
28362220,0.981795084425781,0.128046153846154,c(-7.899791819, 41.48698393)
28362360,0.975112197224413,0.080859615384615,c(-8.274261006, 42.71064701)
28362378,0.743795074846973,0.048057692307692,c(-8.323911903, 42.8677188)
28362414,0.681058929595935,0.061461538461538,c(-8.42427799, 43.18168656)
28382100,0.561713764813127,0.208894230769231,c(-7.571541371, 40.4394979)
28382160,0.747781432503189,0.083261538461538,c(-7.722229895, 40.96569098)
28382268,0.705591762966209,0.08705,c(-8.002371094, 41.91121174)
28402054,1.14273188028322,0.139828846153846,c(-7.435441499, 40.03978223)
28402306,0.620040080160321,0.040384615384615,c(-8.080119232, 42.24770771)
28402378,0.569205743773839,0.040030769230769,c(-8.276175142, 42.87645195)
28421754,1.21344512723125,0.033936538461538,c(-6.721746631, 37.40037811)
28422424,1.36880222841226,0.116307692307692,c(-8.380353098, 43.28205369)
28441774,0.846963111556893,0.1027,c(-6.743347982, 37.58107022)
28442408,0.654437248380886,0.033184615384615,c(-8.311575272, 43.14690911)
28482206,0.664804078149955,0.121019230769231,c(-7.723445629, 41.38981111)
28482326,0.772280508006626,0.0945,c(-8.039181389, 42.43969812)
28482368,0.893336937659687,0.117869230769231,c(-8.153230881, 42.80655165)
28501736,1.0180492861342,0.074244230769231,c(-6.59463209, 37.25693209)
28502024,1.17849831721533,0.169188461538462,c(-7.248743873, 39.79667943)
28502212,1.0079771869434,0.166469230769231,c(-7.715523427, 41.44658272)
28502280,0.885132398723624,0.010419230769231,c(-7.892831414, 42.04180912)
28522106,0.741432384483833,0.037430769230769,c(-7.425186888, 40.5212293)
28542018,1.11182677056755,0.27495,c(-7.188806116, 39.75207571)
28542144,0.532703858806094,0.143567307692308,c(-7.496487261, 40.85885734)
28542192,1.01368249263727,0.179861538461538,c(-7.617644148, 41.27974826)
28542210,0.863021470142319,0.213576923076923,c(-7.663657682, 41.43747713)
28542318,1.00833128100482,0.125446153846154,c(-7.94658216, 42.38264415)
28562290,1.09621061029119,0.074338461538462,c(-7.848472302, 42.14205449)
28582198,0.796436839804922,0.111203846153846,c(-7.586287699, 41.34070601)
28582414,1.08289738430583,0.044230769230769,c(-8.160282865, 43.22973941)
28601668,1.16170787450655,0.0374,c(-6.340807857, 36.67438127)
28602222,1.30024523674778,0.20485,c(-7.624298224, 41.55520217)
28602250,0.869224227374007,0.095492307692308,c(-7.696589842, 41.80044333)
28602334,0.937570295046606,0.026425,c(-7.918251953, 42.53533642)
28622188,0.820527109723402,0.124178846153846,c(-7.514255471, 41.26139044)
28622242,0.929654737505912,0.219323076923077,c(-7.652383136, 41.73459301)
28642186,0.920635006102376,0.142830769230769,c(-7.485892281, 41.24801479)
28642250,1.1299794049454,0.109196153846154,c(-7.649593597, 41.80885799)
28661678,0.891798087591787,0.074465384615385,c(-6.296082763, 36.77450182)
28661894,1.35221762270846,0.1545,c(-6.765229741, 38.68398208)
28662074,0.706838154287617,0.249403846153846,c(-7.185955982, 40.26888581)
28662146,0.919589926454201,0.137115384615385,c(-7.362426783, 40.90124972)
28662272,1.56817433364207,0.103046153846154,c(-7.683239196, 42.00569604)
28681916,1.40623632089492,0.074775,c(-6.792622865, 38.88197385)
28682284,0.858256378149945,0.017076923076923,c(-7.691005962, 42.11495355)
28721676,1.2643382990557,0.035309615384615,c(-6.226268618, 36.76826601)
28721752,0.911934329614818,0.0498,c(-6.386409578, 37.44122982)
28721932,1.45566218559428,0.116082692307692,c(-6.783998842, 39.03098603)
28722000,0.885104225571827,0.211030769230769,c(-6.941258418, 39.63007069)
28722138,1.01447166137132,0.249461538461539,c(-7.273082493, 40.84336641)
28722166,0.629796662871693,0.214548076923077,c(-7.342565209, 41.08913568)
28722202,0.752071429675465,0.253488461538461,c(-7.433006097, 41.4049234)
28722216,0.603356687027966,0.014596153846154,c(-7.468518101, 41.52766857)
28722300,0.859264094291416,0.071944230769231,c(-7.685689173, 42.26342012)
28742296,0.767654586255958,0.072773076923077,c(-7.651527299, 42.23262181)
28742340,1.37700348432056,0.116923076923077,c(-7.767835052, 42.61758521)
28742448,0.796212528034874,0.025938461538462,c(-8.062026983, 43.56105831)
28761906,1.05376282494061,0.086815384615385,c(-6.679916707, 38.80960861)
28762162,1.15919395465995,0.236538461538462,c(-7.286104566, 41.06226224)
28762194,1.12393951065932,0.081338461538462,c(-7.366115775, 41.34303938)
28762288,0.90222106640444,0.053469230769231,c(-7.606958963, 42.1667904)
28762374,0.610354170889077,0.022690384615385,c(-7.835185497, 42.91908519)
28782280,0.527055429631156,0.0294,c(-7.562503624, 42.100931)
28782298,0.747126904984784,0.018011538461538,c(-7.609432384, 42.2585327)
28782334,0.979419703243688,0.071628846153846,c(-7.704288061, 42.57356682)
28801616,1.08247382454315,0.053723076923077,c(-6.015987689, 36.25135201)
28802092,1.15777610230399,0.214407692307692,c(-7.068386658, 40.45555349)
28802416,0.72945189180614,0.030230769230769,c(-7.901381561, 43.29458066)
28822118,1.11621619195519,0.143069230769231,c(-7.108326512, 40.68811571)
28822226,0.786172428154935,0.0396,c(-7.376778635, 41.63607008)
28822460,0.743940588439343,0.024276923076923,c(-7.998696078, 43.68302514)
28862140,1.17038938810441,0.101153846153846,c(-7.115728921, 40.88952602)
28862294,0.670959924917472,0.112771153846154,c(-7.504314867, 42.2402476)
28882296,0.467759852962931,0.050998076923077,c(-7.485837328, 42.26193318)
28882332,0.798467966573816,0.116307692307692,c(-7.580042734, 42.57710793)
28901658,1.61313089864588,0.0252,c(-5.992368545, 36.64281418)
28901850,0.840979381443299,0.092676923076923,c(-6.398400661, 38.34255565)
28902202,1.07559182473166,0.162953846153846,c(-7.222622029, 41.44202201)
28902396,0.727832473824035,0.04015,c(-7.726847656, 43.14110222)
28921890,0.714342709803381,0.275053846153846,c(-6.464186566, 38.69974729)
28941694,1.32079320066128,0.076380769230769,c(-6.022445377, 36.96957192)
28941888,1.12961753731343,0.076430769230769,c(-6.437274992, 38.68597704)
28942306,0.854988338947914,0.03525,c(-7.440723215, 42.36200421)
28942378,0.725031083702193,0.033317307692308,c(-7.630526801, 42.99215988)
28962222,1.10932368494295,0.136298076923077,c(-7.2024936, 41.62979351)
28962240,0.80500065562579,0.076044230769231,c(-7.247870435, 41.78768818)
28962348,0.447099377619383,0.110734615384615,c(-7.526929234, 42.73388883)
29002384,0.427957353476674,0.091638461538462,c(-7.57465414, 43.05724983)
29002406,0.365488266289083,0.005823076923077,c(-7.633657985, 43.24964473)
29021660,1.52859724799383,0.042376923076923,c(-5.865255503, 36.68305592)
29021666,1.35190742624618,0.032123076923077,c(-5.877434135, 36.73628946)
29041888,1.0289043158505,0.127678846153846,c(-6.324876952, 38.70534404)
29042132,1.06358022966668,0.174053846153846,c(-6.887533901, 40.85558051)
29042168,0.8209355178189,0.060742307692308,c(-6.975055937, 41.17196535)
29042356,0.578854746019681,0.043611538461538,c(-7.452511062, 42.82060669)
29042420,0.700438726917954,0.055834615384615,c(-7.623265414, 43.38047049)
29061990,1.09391683312148,0.152769230769231,c(-6.531026492, 39.60937688)
29081716,1.50664077208141,0.029596153846154,c(-5.913899227, 37.19093008)
29082220,0.973870743571925,0.100625,c(-7.056708756, 41.636707)
29082288,0.699659483550051,0.078323076923077,c(-7.228393409, 42.23321012)
29082342,0.636836015268014,0.054332692307692,c(-7.368023646, 42.70634398)
29082382,0.617426231394412,0.080740384615385,c(-7.473387089, 43.05649378)
29082418,0.758192919387314,0.056361538461538,c(-7.569654223, 43.37139568)
29102206,1.28751111901797,0.135230769230769,c(-6.998495697, 41.51784815)
29102326,0.678334707080761,0.010753846153846,c(-7.302535454, 42.57033853)
29122076,1.09815170295618,0.123413461538462,c(-6.661643553, 40.37884915)
29122112,0.94562018220042,0.108125,c(-6.74687852, 40.69567099)
29122288,0.85286512286591,0.046725,c(-7.181021443, 42.24141281)
29122342,0.432588696979627,0.037561538461538,c(-7.3203035, 42.71462237)
29142114,0.900269771644003,0.088973076923077,c(-6.728497886, 40.71724237)
29142438,0.427781475031582,0.034857692307692,c(-7.551197859, 43.55886276)
29161684,0.881242604483852,0.024876923076923,c(-5.760540073, 36.92206541)
29161738,1.023914998022,0.037488461538462,c(-5.871087707, 37.40091942)
29162278,1.00479300357772,0.11955,c(-7.108231422, 42.1618939)
29181908,1.13279653454769,0.081926923076923,c(-6.211235434, 38.9089554)
29182100,1.40462737699221,0.225346153846154,c(-6.649004014, 40.60197479)
29182186,0.780790161848894,0.238130769230769,c(-6.855703558, 41.35827993)
29182358,0.713671944670142,0.029596153846154,c(-7.290385551, 42.86714733)
29201666,1.30066711404097,0.025653846153846,c(-5.68036453, 36.76972938)
29201738,0.755778368018537,0.063832692307692,c(-5.826902789, 37.40839424)
29221704,0.932853949574307,0.063969230769231,c(-5.735218825, 37.11062615)
29222204,0.470439314966493,0.096057692307692,c(-6.852970121, 41.52445163)
29222276,0.969588913443988,0.100226923076923,c(-7.03218093, 42.15655632)
29222392,0.544803212575134,0.105438461538462,c(-7.331767882, 43.17311481)
29242344,0.650561233710166,0.042288461538462,c(-7.182249589, 42.75684848)
29261662,1.28296607664773,0.063046153846154,c(-5.606641389, 36.74526991)
29261832,1.1490860670621,0.046807692307692,c(-5.957074641, 38.25218456)
29262270,1.10871231685106,0.080325,c(-6.969757339, 42.1120145)
29262306,0.679961183891315,0.207307692307692,c(-7.06082529, 42.427826)
29262342,0.669004906669436,0.037025,c(-7.153191141, 42.74342044)
29281750,1.30070321455562,0.015236538461538,c(-5.763180488, 37.52966525)
29281840,1.21105665555773,0.019038461538462,c(-5.951734048, 38.32674739)
29282088,0.907715294249481,0.176261538461538,c(-6.505275509, 40.51600911)
