"SURVEY_DATE","POINTID_2018","Elev","Depth","Coarse","Clay","Sand","Silt","Soil_Stones","pH_CaCl2_2018","pH_H2O","EC_2018","OC_2018","OC..20.30.cm.","CaCO3_2018","CaCO3..20.30.cm.","P_2018","N_2018","K_2018","Ox_Al","Ox_Fe","NUTS_0_2018","NUTS_1_2018","NUTS_2_2018","NUTS_3_2018","TH_LAT","TH_LONG","LC_2018","LU_2018","BD.0.10","BD.10.20","BD.20.30","BD.0.20","BDsample_0","coarse_mas","BDfine_0_2","coarse_vol"
"29-05-18",26581768,111,"0-20 cm",NA,NA,NA,NA,1,6.9,7.47,19.44,"28.2","","204",NA,"40.3","3","448.1",NA,NA,"PT","PT1","PT15","PT150",37.13910423,-8.775251839,"E20","U111",1.133,NA,NA,NA,1.133,0.14,1.03768688200935,0.061007692307692
"04-07-18",26581792,78,"0-20 cm",NA,NA,NA,NA,1,5.8,6.51,11.07,"33.5","",NA,NA,"< LOD","3","182.8",0.5,3.2,"PT","PT1","PT15","PT150",37.34974664,-8.833727843,"D20","U420",NA,NA,NA,NA,NA,NA,NA,NA
"02-08-18",26581954,250,"0-20 cm",NA,NA,NA,NA,1,7,7.58,15.71,"13.7","","10",NA,"31.2","1.4","461.7",NA,NA,"PT","PT1","PT17","PT170",38.76853116,-9.24209186,"E30","U112",NA,NA,NA,NA,NA,NA,NA,NA
"04-07-18",26601784,145,"0-20 cm",NA,NA,NA,NA,1,4.5,5.54,5.61,"52.1","",NA,NA,"< LOD","3.6","161.1",NA,NA,"PT","PT1","PT15","PT150",37.28397193,-8.792255364,"D10","U120",NA,NA,NA,NA,NA,NA,NA,NA
"25-07-18",26601978,156,"0-20 cm",NA,NA,NA,NA,2,6.8,7.28,16.39,"23.1","","10",NA,"< LOD","2.1","192.2",NA,NA,"PT","PT1","PT17","PT170",38.98282746,-9.282250124,"C10","U120",NA,NA,NA,NA,NA,NA,NA,NA
"29-06-18",26702014,211,"0-20 cm",NA,NA,NA,NA,1,5,5.81,7.89,"17.9","","1",NA,"11.4","1.3","141.9",NA,NA,"PT","PT1","PT16","PT16B",39.32008061,-9.264401983,"C10","U120",NA,NA,NA,NA,NA,NA,NA,NA
"12-05-18",26741814,129,"0-20 cm",NA,NA,NA,NA,1,4.4,5.15,8.52,"8.5","5.2",NA,NA,"31.8","0.9","24.3",1.1,4,"PT","PT1","PT18","PT181",37.57816004,-8.711708338,"B55","U111",1.223,1.439,1.523,1.331,1.331,0.05,1.29766523910083,0.025596153846154
"19-07-18",26741986,215,"0-20 cm",NA,NA,NA,NA,1,7.1,7.91,18.15,"10.5","","243",NA,"14.1","1.2","275.7",0.5,1,"PT","PT1","PT16","PT16B",39.08451978,-9.145973845,"B82","U111",NA,NA,NA,NA,NA,NA,NA,NA
"25-05-18",26761768,59,"0-20 cm",NA,NA,NA,NA,1,6.9,7.72,18.39,"53.6","","56",NA,"44.5","4.6","622.5",NA,NA,"PT","PT1","PT15","PT150",37.17866631,-8.578214406,"E20","U111",NA,NA,NA,NA,NA,NA,NA,NA
"25-05-18",26761786,430,"0-20 cm",NA,NA,NA,NA,1,4.3,4.99,7.83,"48.1","46.8",NA,NA,"< LOD","2.4","121",NA,NA,"PT","PT1","PT15","PT150",37.33676436,-8.621613437,"B75","U111",1.083,1.063,0.876,1.073,1.073,0.24,0.905129606229296,0.099046153846154
"06-07-18",26761804,244,"0-20 cm",NA,NA,NA,NA,1,4.2,5.14,5.18,"26.2","","1",NA,"< LOD","1.5","57.6",NA,NA,"PT","PT1","PT18","PT181",37.49479743,-8.66529655,"C10","U120",NA,NA,NA,NA,NA,NA,NA,NA
"27-06-18",26761864,78,"0-20 cm",NA,NA,NA,NA,1,4.5,5.42,3.29,"7.2","5.7",NA,NA,"< LOD","0.5","22.1",NA,NA,"PT","PT1","PT18","PT181",38.02110541,-8.812989762,"C22","U120",NA,NA,NA,NA,NA,NA,NA,NA
"18-07-18",26761998,171,"0-20 cm",NA,NA,NA,NA,1,3.8,4.87,5.97,"22.8","","1",NA,"< LOD","1","49.3",NA,NA,"PT","PT1","PT16","PT16B",39.19392373,-9.154804085,"C10","U120",NA,NA,NA,NA,NA,NA,NA,NA
"18-07-18",26762002,103,"0-20 cm",NA,NA,NA,NA,1,7,7.68,12.41,"8.6","","7",NA,"54","0.7","204.5",NA,NA,"PT","PT1","PT16","PT16B",39.22887796,-9.16526974,"B72","U111",1.303,1.536,NA,1.42,1.4195,0.12,1.33673682737502,0.065515384615385
"03-07-18",26781816,105,"0-20 cm",NA,NA,NA,NA,1,4.1,5.12,6.36,"53.6","","2",NA,"< LOD","3.3","65.1",NA,NA,"PT","PT1","PT18","PT181",37.60451843,-8.67255033,"C22","U120",NA,NA,NA,NA,NA,NA,NA,NA
"21-06-18",26802028,125,"0-20 cm",NA,NA,NA,NA,1,5,5.76,5.62,"3","","1",NA,"< LOD","0.2","32.4",NA,NA,"PT","PT1","PT16","PT16B",39.46508987,-9.188492044,"C10","U120",NA,NA,NA,NA,NA,NA,NA,NA
"28-06-18",26821846,210,"0-20 cm",NA,NA,NA,NA,1,5,5.53,10.21,"20.7","",NA,NA,"< LOD","2.4","59.1",NA,NA,"PT","PT1","PT18","PT181",37.87653787,-8.702020387,"B15","U111",NA,NA,NA,NA,NA,NA,NA,NA
"30-05-18",26841764,66,"0-20 cm",NA,NA,NA,NA,4,7.1,7.79,23.3,"48.9","36.7","124",126,"< LOD","3.5","643.7",1.2,2.2,"PT","PT1","PT15","PT150",37.16096582,-8.481015615,"B84","U111",1.021,1.036,0.996,1.029,1.0285,0.12,0.950184528664529,0.047469230769231
"10-07-18",26841826,185,"0-20 cm",NA,NA,NA,NA,4,4.7,5.46,5.2,"15.5","",NA,NA,"10.8","1.7","49.3",1.2,4,"PT","PT1","PT18","PT181",37.70546324,-8.630849544,"B11","U111",NA,NA,NA,NA,NA,NA,NA,NA
"06-07-18",26841944,57,"0-20 cm",NA,NA,NA,NA,1,4.6,4.87,10.18,"4.3","",NA,NA,"60.4","0.6","36.7",NA,NA,"PT","PT1","PT17","PT170",38.73964766,-8.925556639,"B21","U111",NA,NA,NA,NA,NA,NA,NA,NA
"06-07-18",26881938,66,"0-20 cm",NA,NA,NA,NA,1,4.5,5.28,11.125,"10.4","17.9",NA,NA,"< LOD","0.85","99.75",NA,NA,"PT","PT1","PT17","PT170",38.69604951,-8.865543872,"C10","U120",1.273,1.199,1.283,1.236,1.236,0.11,1.16073765036282,0.052292307692308
"29-06-18",26921850,161,"0-20 cm",NA,NA,NA,NA,1,5.3,6.07,5.81,"14.2","",NA,NA,"< LOD","1.4","55.4",NA,NA,"PT","PT1","PT18","PT181",37.93361456,-8.601248224,"E20","U111",NA,NA,NA,NA,NA,NA,NA,NA
"19-06-18",26921874,311,"0-20 cm",NA,NA,NA,NA,1,5.2,6.17,4.8,"19.2","","1",NA,"< LOD","1.4","209.3",NA,NA,"PT","PT1","PT18","PT181",38.14413084,-8.660429092,"C10","U120",NA,NA,NA,NA,NA,NA,NA,NA
"08-07-18",26941804,197,"0-20 cm",NA,NA,NA,NA,1,5.1,6.01,6.65,"27.1","","1",NA,"< LOD","2.3","237.9",NA,NA,"PT","PT1","PT18","PT181",37.53415879,-8.4672418,"C10","U120",NA,NA,NA,NA,NA,NA,NA,NA
