"POINTID","Elev","Soil_Stones","pH_CaCl2_2018","pH_H2O","EC_2018","OC_2018","CaCO3_2018","P_2018","N_2018","K_2018","Ox_Al","Ox_Fe","LC_0","LC_2018","LU_2018","BDsample_0","coarse_mas","geometry"
26581768,111,"1",6.9,7.47,19.44,28.2,204,40.3,3,448.1,NA,NA,"E","E20","U111",1.133,0.14,c(-8.775251839, 37.13910423)
26741814,129,"1",4.4,5.15,8.52,8.5,NA,31.8,0.9,24.3,1.1,4,"B","B55","U111",1.331,0.05,c(-8.711708338, 37.57816004)
26761786,430,"1",4.3,4.99,7.83,48.1,NA,NA,2.4,121,NA,NA,"B","B75","U111",1.073,0.24,c(-8.621613437, 37.33676436)
26762002,103,"1",7,7.68,12.41,8.6,7,54,0.7,204.5,NA,NA,"B","B72","U111",1.4195,0.12,c(-9.16526974, 39.22887796)
26841764,66,"4",7.1,7.79,23.3,48.9,124,NA,3.5,643.7,1.2,2.2,"B","B84","U111",1.0285,0.12,c(-8.481015615, 37.16096582)
26881938,66,"1",4.5,5.28,11.125,10.4,NA,NA,0.85,99.75,NA,NA,"C","C10","U120",1.236,0.11,c(-8.865543872, 38.69604951)
26942016,242,"4",3.9,4.49,5.89,15,NA,NA,1.2,38.2,NA,NA,"C","C10","U120",1.0895,0.15,c(-8.998901767, 39.39184536)
26962018,259,"1",5,5.67,12.67,39.8,NA,NA,2.4,110.1,NA,NA,"C","C10","U120",1.0875,0.18,c(-8.981530426, 39.41382056)
27001882,146,"1",4.8,5.47,7.58,8.2,NA,38.5,0.7,42.6,NA,NA,"B","B23","U111",1.4215,0.03,c(-8.591381992, 38.23186429)
27022016,221,"1",6.4,6.93,7.05,6.4,1,NA,0.5,57.7,1.4,2.6,"B","B81","U111",1.393,0.18,c(-8.908556192, 39.40977721)
27061758,182,"1",7,7.78,16.61,21.1,577,NA,1.8,360.2,NA,NA,"B","B74","U111",1.2665,0.09,c(-8.225788031, 37.15573516)
27061970,82,"1",5.3,5.65,13.14,3.3,NA,54.9,0.4,28.5,NA,NA,"B","B21","U111",1.282,0,c(-8.745206354, 39.01619339)
27081828,181,"1",4.8,5.86,3.65,11,NA,NA,1.2,42.7,NA,NA,"C","C10","U120",1.313,0.26,c(-8.370764946, 37.77534776)
27101814,244,"1",5.4,5.81,4.61,20.7,NA,NA,1.8,81.8,NA,NA,"C","C10","U120",1.314,0.12,c(-8.314985341, 37.65667873)
27122016,158,"1",7,7.6,15.43,14.5,19,NA,1.5,121.3,NA,NA,"B","B81","U111",0.907,0.14,c(-8.795564111, 39.43207414)
27161812,222,"1",6.3,6.85,15.59,18.3,NA,15.2,2.1,36.8,NA,NA,"B","B55","U111",1.2665,0.1,c(-8.244007388, 37.65202644)
27162028,360,"1",7,7.33,25.1,34.1,280,NA,3.5,417.6,NA,NA,"B","B81","U111",0.879,0.34,c(-8.781341154, 39.54593442)
27181846,117,"1",5.7,6.3,8.15,5.1,NA,15.3,0.5,94.9,1.5,0.8,"B","B81","U111",1.481,0.17,c(-8.303628792, 37.95506483)
27201772,573,"2",4.5,5.31,4.36,24.8,NA,NA,1.8,104.4,NA,NA,"C","C10","U120",1.1325,0.21,c(-8.105164104, 37.30884037)
