"POINTID","NUTS_0_2018","NUTS_1_2018","NUTS_2_2018","NUTS_3_2018"
26581768,"PT","PT1","PT15","PT150"
26581792,"PT","PT1","PT15","PT150"
26581954,"PT","PT1","PT17","PT170"
26601784,"PT","PT1","PT15","PT150"
26601978,"PT","PT1","PT17","PT170"
26702014,"PT","PT1","PT16","PT16B"
26741814,"PT","PT1","PT18","PT181"
26741986,"PT","PT1","PT16","PT16B"
26761768,"PT","PT1","PT15","PT150"
26761786,"PT","PT1","PT15","PT150"
26761804,"PT","PT1","PT18","PT181"
26761864,"PT","PT1","PT18","PT181"
26761998,"PT","PT1","PT16","PT16B"
26762002,"PT","PT1","PT16","PT16B"
26781816,"PT","PT1","PT18","PT181"
26802028,"PT","PT1","PT16","PT16B"
26821846,"PT","PT1","PT18","PT181"
26841764,"PT","PT1","PT15","PT150"
26841826,"PT","PT1","PT18","PT181"
26841944,"PT","PT1","PT17","PT170"
26881938,"PT","PT1","PT17","PT170"
26921850,"PT","PT1","PT18","PT181"
26921874,"PT","PT1","PT18","PT181"
26941804,"PT","PT1","PT18","PT181"
26941810,"PT","PT1","PT18","PT181"
26942016,"PT","PT1","PT16","PT16B"
26961834,"PT","PT1","PT18","PT181"
26962018,"PT","PT1","PT16","PT16B"
27001846,"PT","PT1","PT18","PT181"
27001864,"PT","PT1","PT18","PT181"
27001882,"PT","PT1","PT18","PT181"
27001936,"PT","PT1","PT17","PT170"
27002038,"PT","PT1","PT16","PT16B"
27021938,"PT","PT1","PT17","PT170"
27022016,"PT","PT1","PT18","PT185"
27041840,"PT","PT1","PT18","PT181"
27041876,"PT","PT1","PT18","PT181"
27061758,"PT","PT1","PT15","PT150"
27061888,"PT","PT1","PT18","PT181"
27061970,"PT","PT1","PT18","PT185"
27081828,"PT","PT1","PT18","PT184"
27101814,"PT","PT1","PT18","PT184"
27101892,"PT","PT1","PT18","PT181"
27101940,"PT","PT1","PT17","PT170"
27101964,"PT","PT1","PT18","PT185"
27102048,"PT","PT1","PT16","PT16F"
27121756,"PT","PT1","PT15","PT150"
27122016,"PT","PT1","PT18","PT185"
27141834,"PT","PT1","PT18","PT184"
27161812,"PT","PT1","PT18","PT184"
27162028,"PT","PT1","PT16","PT16F"
27181846,"PT","PT1","PT18","PT181"
27182008,"PT","PT1","PT18","PT185"
27201772,"PT","PT1","PT15","PT150"
27201962,"PT","PT1","PT18","PT185"
27202006,"PT","PT1","PT18","PT185"
27221750,"PT","PT1","PT15","PT150"
27221822,"PT","PT1","PT18","PT184"
27221858,"PT","PT1","PT18","PT184"
27241758,"PT","PT1","PT15","PT150"
27241816,"PT","PT1","PT18","PT184"
27241888,"PT","PT1","PT18","PT181"
27241916,"PT","PT1","PT18","PT187"
27241992,"PT","PT1","PT18","PT185"
27242086,"PT","PT1","PT16","PT16E"
27281760,"PT","PT1","PT15","PT150"
27281838,"PT","PT1","PT18","PT184"
27281850,"PT","PT1","PT18","PT184"
27281940,"PT","PT1","PT18","PT187"
27282072,"PT","PT1","PT16","PT16F"
27282102,"PT","PT1","PT16","PT16E"
27301972,"PT","PT1","PT18","PT185"
27301980,"PT","PT1","PT18","PT185"
27302020,"PT","PT1","PT16","PT16I"
27302044,"PT","PT1","PT16","PT16I"
27321748,"PT","PT1","PT15","PT150"
27321784,"PT","PT1","PT18","PT184"
27341920,"PT","PT1","PT18","PT187"
27361828,"PT","PT1","PT18","PT184"
27361846,"PT","PT1","PT18","PT184"
27361954,"PT","PT1","PT18","PT185"
27362062,"PT","PT1","PT16","PT16F"
27381902,"PT","PT1","PT18","PT187"
27381916,"PT","PT1","PT18","PT187"
27381926,"PT","PT1","PT18","PT187"
27382028,"PT","PT1","PT16","PT16I"
27401804,"PT","PT1","PT18","PT184"
27401840,"PT","PT1","PT18","PT184"
27402038,"PT","PT1","PT16","PT16I"
27402128,"PT","PT1","PT16","PT16E"
