"POINTID","Coarse","Clay","Sand","Silt","geometry"
28061794,38,29,32,39,c(-7.208015428, 37.68157936)
28102276,20,3,76,21,c(-8.352928966, 41.92054381)
28142280,11,8,48,44,c(-8.316700412, 41.96420875)
28181874,12,32,19,49,c(-7.25722835, 38.41119899)
28201786,36,22,41,38,c(-7.035233879, 37.63925247)
28201818,56,27,20,53,c(-7.107086195, 37.92160592)
28202170,23,7,62,31,c(-7.956548904, 41.01515363)
28262288,19,4,68,28,c(-8.19698605, 42.06017685)
28282006,26,20,22,58,c(-7.45592171, 39.59322669)
28301732,1,1,94,4,c(-6.805977859, 37.18221435)
28302282,44,3,75,22,c(-8.133780206, 42.01639763)
28321780,47,33,13,53,c(-6.889220889, 37.61027857)
28321802,52,24,43,34,c(-6.938071168, 37.8045204)
28341822,19,15,45,40,c(-6.960598744, 37.98503262)
28341858,11,22,28,50,c(-7.041890965, 38.30258349)
28342236,22,7,70,23,c(-7.964980681, 41.62273819)
28361824,52,19,27,54,c(-6.94285404, 38.00668189)
28381990,36,24,21,55,c(-7.304031323, 39.47313329)
28382100,55,9,56,35,c(-7.571541371, 40.4394979)
28401816,20,13,53,34,c(-6.880513824, 37.9440587)
28401842,31,35,18,46,c(-6.938777734, 38.17350023)
28422262,22,3,74,22,c(-7.939491123, 41.86729019)
28441714,1,2,92,6,c(-6.613326416, 37.05059283)
28461956,42,25,40,34,c(-7.133149295, 39.19025863)
28481804,25,35,29,36,c(-6.765053017, 37.85398572)
28481832,33,32,22,46,c(-6.827245095, 38.10119974)
28521972,30,15,33,51,c(-7.102740715, 39.34326421)
28522106,12,11,44,45,c(-7.425186888, 40.5212293)
28522236,30,4,67,29,c(-7.754130756, 41.66098417)
28522268,19,8,58,35,c(-7.837662302, 41.94107921)
28541796,29,32,33,35,c(-6.680874124, 37.79515704)
28542220,22,5,64,32,c(-7.68935918, 41.52507947)
28562254,32,8,48,44,c(-7.753991213, 41.82702424)
28601988,28,30,23,46,c(-7.049549781, 39.50027792)
