"POINTID","NUTS_0_2018","NUTS_1_2018","NUTS_2_2018","NUTS_3_2018","geometry"
26581768,"PT","PT1","PT15","PT150",c(-8.775251839, 37.13910423)
26581792,"PT","PT1","PT15","PT150",c(-8.833727843, 37.34974664)
26581954,"PT","PT1","PT17","PT170",c(-9.24209186, 38.76853116)
26601784,"PT","PT1","PT15","PT150",c(-8.792255364, 37.28397193)
26601978,"PT","PT1","PT17","PT170",c(-9.282250124, 38.98282746)
26702014,"PT","PT1","PT16","PT16B",c(-9.264401983, 39.32008061)
26741814,"PT","PT1","PT18","PT181",c(-8.711708338, 37.57816004)
26741986,"PT","PT1","PT16","PT16B",c(-9.145973845, 39.08451978)
26761768,"PT","PT1","PT15","PT150",c(-8.578214406, 37.17866631)
26761786,"PT","PT1","PT15","PT150",c(-8.621613437, 37.33676436)
26761804,"PT","PT1","PT18","PT181",c(-8.66529655, 37.49479743)
26761864,"PT","PT1","PT18","PT181",c(-8.812989762, 38.02110541)
26761998,"PT","PT1","PT16","PT16B",c(-9.154804085, 39.19392373)
26762002,"PT","PT1","PT16","PT16B",c(-9.16526974, 39.22887796)
26781816,"PT","PT1","PT18","PT181",c(-8.67255033, 37.60451843)
26802028,"PT","PT1","PT16","PT16B",c(-9.188492044, 39.46508987)
26821846,"PT","PT1","PT18","PT181",c(-8.702020387, 37.87653787)
26841764,"PT","PT1","PT15","PT150",c(-8.481015615, 37.16096582)
26841826,"PT","PT1","PT18","PT181",c(-8.630849544, 37.70546324)
26841944,"PT","PT1","PT17","PT170",c(-8.925556639, 38.73964766)
26881938,"PT","PT1","PT17","PT170",c(-8.865543872, 38.69604951)
26921850,"PT","PT1","PT18","PT181",c(-8.601248224, 37.93361456)
26921874,"PT","PT1","PT18","PT181",c(-8.660429092, 38.14413084)
26941804,"PT","PT1","PT18","PT181",c(-8.4672418, 37.53415879)
26941810,"PT","PT1","PT18","PT181",c(-8.481727657, 37.58685722)
26942016,"PT","PT1","PT16","PT16B",c(-8.998901767, 39.39184536)
26961834,"PT","PT1","PT18","PT181",c(-8.517892982, 37.80194714)
26962018,"PT","PT1","PT16","PT16B",c(-8.981530426, 39.41382056)
27001846,"PT","PT1","PT18","PT181",c(-8.502923022, 37.91600888)
27001864,"PT","PT1","PT18","PT181",c(-8.547006763, 38.07396855)
27001882,"PT","PT1","PT18","PT181",c(-8.591381992, 38.23186429)
27001936,"PT","PT1","PT17","PT170",c(-8.726281891, 38.70516812)
27002038,"PT","PT1","PT16","PT16B",c(-8.988560552, 39.59761767)
27021938,"PT","PT1","PT17","PT170",c(-8.708951935, 38.72710826)
27022016,"PT","PT1","PT18","PT185",c(-8.908556192, 39.40977721)
27041840,"PT","PT1","PT18","PT181",c(-8.444053459, 37.87204858)
27041876,"PT","PT1","PT18","PT181",c(-8.532129552, 38.18799401)
27061758,"PT","PT1","PT15","PT150",c(-8.225788031, 37.15573516)
27061888,"PT","PT1","PT18","PT181",c(-8.539497845, 38.29762997)
27061970,"PT","PT1","PT18","PT185",c(-8.745206354, 39.01619339)
27081828,"PT","PT1","PT18","PT184",c(-8.370764946, 37.77534776)
27101814,"PT","PT1","PT18","PT184",c(-8.314985341, 37.65667873)
27101892,"PT","PT1","PT18","PT181",c(-8.504861164, 38.34145735)
27101940,"PT","PT1","PT17","PT170",c(-8.624439327, 38.76226676)
27101964,"PT","PT1","PT18","PT185",c(-8.685027762, 38.97250221)
27102048,"PT","PT1","PT16","PT16F",c(-8.901391332, 39.7074376)
27121756,"PT","PT1","PT15","PT150",c(-8.155341858, 37.15098681)
27122016,"PT","PT1","PT18","PT185",c(-8.795564111, 39.43207414)
27141834,"PT","PT1","PT18","PT184",c(-8.318924201, 37.84102488)
27161812,"PT","PT1","PT18","PT184",c(-8.244007388, 37.65202644)
27162028,"PT","PT1","PT16","PT16F",c(-8.781341154, 39.54593442)
27181846,"PT","PT1","PT18","PT181",c(-8.303628792, 37.95506483)
27182008,"PT","PT1","PT18","PT185",c(-8.707174304, 39.37538276)
27201772,"PT","PT1","PT15","PT150",c(-8.105164104, 37.30884037)
27201962,"PT","PT1","PT18","PT185",c(-8.567653831, 38.97699355)
27202006,"PT","PT1","PT18","PT185",c(-8.679456518, 39.36230016)
27221750,"PT","PT1","PT15","PT150",c(-8.031746353, 37.11947836)
27221822,"PT","PT1","PT18","PT184",c(-8.201674106, 37.75280367)
27221858,"PT","PT1","PT18","PT184",c(-8.288325177, 38.06908735)
27241758,"PT","PT1","PT15","PT150",c(-8.02847573, 37.1941453)
27241816,"PT","PT1","PT18","PT184",c(-8.165260477, 37.70434947)
27241888,"PT","PT1","PT18","PT181",c(-8.339140772, 38.33679543)
27241916,"PT","PT1","PT18","PT187",c(-8.408011888, 38.58247455)
27241992,"PT","PT1","PT18","PT185",c(-8.598580275, 39.24855054)
27242086,"PT","PT1","PT16","PT16E",c(-8.841867931, 40.07083025)
27281760,"PT","PT1","PT15","PT150",c(-7.98926198, 37.22023173)
27281838,"PT","PT1","PT18","PT184",c(-8.173618568, 37.90628533)
27281850,"PT","PT1","PT18","PT184",c(-8.202449758, 38.01172717)
27281940,"PT","PT1","PT18","PT187",c(-8.422782643, 38.80165119)
27282072,"PT","PT1","PT16","PT16F",c(-8.759527193, 39.957369)
27282102,"PT","PT1","PT16","PT16E",c(-8.838408174, 40.21956151)
27301972,"PT","PT1","PT18","PT185",c(-8.480398084, 39.08650659)
27301980,"PT","PT1","PT18","PT185",c(-8.500555622, 39.15660199)
27302020,"PT","PT1","PT16","PT16I",c(-8.602248621, 39.50689337)
27302044,"PT","PT1","PT16","PT16I",c(-8.663997248, 39.71691972)
27321748,"PT","PT1","PT15","PT150",c(-7.917530136, 37.12302697)
27321784,"PT","PT1","PT18","PT184",c(-8.001415407, 37.43994321)
27341920,"PT","PT1","PT18","PT187",c(-8.306084154, 38.63924275)
27361828,"PT","PT1","PT18","PT184",c(-8.061192063, 37.83547155)
27361846,"PT","PT1","PT18","PT184",c(-8.104139267, 37.99370508)
27361954,"PT","PT1","PT18","PT185",c(-8.367875561, 38.94179381)
27362062,"PT","PT1","PT16","PT16F",c(-8.642388851, 39.88763555)
27381902,"PT","PT1","PT18","PT187",c(-8.217254276, 38.48989142)
27381916,"PT","PT1","PT18","PT187",c(-8.251515379, 38.61277672)
27381926,"PT","PT1","PT18","PT187",c(-8.276096238, 38.70052885)
27382028,"PT","PT1","PT16","PT16I",c(-8.532099306, 39.59450173)
27401804,"PT","PT1","PT18","PT184",c(-7.960229523, 37.63287273)
27401840,"PT","PT1","PT18","PT184",c(-8.04546633, 37.94949001)
27402038,"PT","PT1","PT16","PT16I",c(-8.535023205, 39.68642896)
27402128,"PT","PT1","PT16","PT16E",c(-8.769787704, 40.47345671)
27421740,"PT","PT1","PT15","PT150",c(-7.789523471, 37.07357074)
27421762,"PT","PT1","PT15","PT150",c(-7.840226945, 37.26737422)
27421780,"PT","PT1","PT15","PT150",c(-7.882013906, 37.42587121)
27421902,"PT","PT1","PT18","PT187",c(-8.172593972, 38.49848408)
27422006,"PT","PT1","PT18","PT185",c(-8.430829259, 39.41058515)
27422010,"PT","PT1","PT18","PT185",c(-8.440962163, 39.44562452)
27461842,"PT","PT1","PT18","PT184",c(-7.983712405, 37.97982158)
27461868,"PT","PT1","PT18","PT184",c(-8.045813739, 38.20837457)
27461892,"PT","PT1","PT18","PT187",c(-8.103666991, 38.41923153)
27462022,"PT","PT1","PT16","PT16I",c(-8.426123654, 39.55945695)
27462138,"PT","PT1","PT16","PT16D",c(-8.72738882, 40.57415894)
27481828,"PT","PT1","PT18","PT184",c(-7.92837558, 37.86093134)
27481840,"PT","PT1","PT18","PT184",c(-7.956786288, 37.96647333)
27481894,"PT","PT1","PT18","PT187",c(-8.086193948, 38.44107094)
27481972,"PT","PT1","PT18","PT186",c(-8.277726695, 39.12561598)
27482128,"PT","PT1","PT16","PT16D",c(-8.677925269, 40.49121854)
27501780,"PT","PT1","PT15","PT150",c(-7.793951199, 37.44268222)
27501802,"PT","PT1","PT18","PT184",c(-7.845168807, 37.63637118)
27501892,"PT","PT1","PT18","PT187",c(-8.059040764, 38.4277697)
27521862,"PT","PT1","PT18","PT184",c(-7.964727398, 38.16838432)
27521880,"PT","PT1","PT18","PT187",c(-8.007829938, 38.32659296)
27522042,"PT","PT1","PT16","PT16I",c(-8.408952199, 39.74769001)
27522096,"PT","PT1","PT16","PT16E",c(-8.548144841, 40.22027772)
27522114,"PT","PT1","PT16","PT16E",c(-8.595175679, 40.37768345)
27541756,"PT","PT1","PT15","PT150",c(-7.694621989, 37.23962435)
27541792,"PT","PT1","PT18","PT184",c(-7.777729769, 37.55673214)
27541810,"PT","PT1","PT18","PT184",c(-7.819694228, 37.71519302)
27541828,"PT","PT1","PT18","PT184",c(-7.861935525, 37.87359195)
27542110,"PT","PT1","PT16","PT16E",c(-8.561770601, 40.34711342)
27561764,"PT","PT1","PT15","PT150",c(-7.691011843, 37.31428407)
27561812,"PT","PT1","PT18","PT184",c(-7.802264626, 37.73699578)
27561920,"PT","PT1","PT18","PT187",c(-8.05985082, 38.68648993)
27561952,"PT","PT1","PT18","PT187",c(-8.138163986, 38.9673951)
27561980,"PT","PT1","PT18","PT186",c(-8.207455207, 39.21302743)
27561988,"PT","PT1","PT16","PT16I",c(-8.22738568, 39.28318073)
27562118,"PT","PT1","PT16","PT16D",c(-8.559769342, 40.42146744)
27562136,"PT","PT1","PT16","PT16D",c(-8.607088998, 40.57882319)
27601758,"PT","PT1","PT15","PT150",c(-7.633296391, 37.26973116)
27601790,"PT","PT1","PT18","PT184",c(-7.706921315, 37.5516643)
27601794,"PT","PT1","PT18","PT184",c(-7.716184921, 37.5868922)
27601844,"PT","PT1","PT18","PT184",c(-7.833129722, 38.02698388)
27601942,"PT","PT1","PT18","PT187",c(-8.068669507, 38.88818492)
27602032,"PT","PT1","PT16","PT16I",c(-8.292652508, 39.67747911)
27602150,"PT","PT1","PT16","PT16D",c(-8.598018758, 40.71000579)
27622062,"PT","PT1","PT16","PT16F",c(-8.346205058, 39.94458503)
27641752,"PT","PT1","PT15","PT150",c(-7.575663712, 37.22513623)
27641832,"PT","PT1","PT18","PT184",c(-7.760527221, 37.92979423)
27641896,"PT","PT1","PT18","PT187",c(-7.912367462, 38.49264562)
27641914,"PT","PT1","PT18","PT187",c(-7.955721568, 38.65080775)
27642102,"PT","PT1","PT16","PT16E",c(-8.426326777, 40.29906157)
27642156,"PT","PT1","PT16","PT16D",c(-8.567768327, 40.77126112)
27661882,"PT","PT1","PT18","PT187",c(-7.856539308, 38.37380684)
27662020,"PT","PT1","PT16","PT16I",c(-8.194301332, 39.58527342)
27681762,"PT","PT1","PT15","PT150",c(-7.554494274, 37.32156629)
27681946,"PT","PT1","PT18","PT187",c(-7.988548455, 38.94034874)
27682000,"PT","PT1","PT16","PT16I",c(-8.121636384, 39.4142123)
27682212,"PT","PT1","PT11","PT11A",c(-8.671064479, 41.26925031)
27701754,"PT","PT1","PT15","PT150",c(-7.514302953, 37.25516696)
27701848,"PT","PT1","PT18","PT184",c(-7.731497901, 38.0831551)
27702222,"PT","PT1","PT11","PT11A",c(-8.674812639, 41.36098366)
27721828,"PT","PT1","PT18","PT184",c(-7.662488824, 37.91129633)
27722056,"PT","PT1","PT16","PT16F",c(-8.216930883, 39.91368778)
27722128,"PT","PT1","PT16","PT16D",c(-8.402070608, 40.543991)
27722228,"PT","PT1","PT11","PT11A",c(-8.667760969, 41.41779435)
27722242,"PT","PT1","PT11","PT112",c(-8.705776471, 41.53997645)
27741830,"PT","PT1","PT18","PT184",c(-7.644974287, 37.93306867)
27741866,"PT","PT1","PT18","PT187",c(-7.729403411, 38.24989582)
27741890,"PT","PT1","PT18","PT187",c(-7.786313911, 38.46097827)
27741908,"PT","PT1","PT18","PT187",c(-7.829328729, 38.61921895)
27742232,"PT","PT1","PT11","PT112",c(-8.655287129, 41.45714479)
27742358,"ES","ES1","ES11","ES111",c(-9.005107942, 42.55544852)
27742394,"ES","ES1","ES11","ES111",c(-9.108252207, 42.86869718)
27742406,"ES","ES1","ES11","ES111",c(-9.14295895, 42.9730586)
27762242,"PT","PT1","PT11","PT112",c(-8.659084, 41.54886066)
27762290,"ES","ES1","ES11","ES114",c(-8.790699394, 41.96756081)
27781794,"PT","PT1","PT18","PT184",c(-7.517479223, 37.62426656)
27781812,"PT","PT1","PT18","PT184",c(-7.558908662, 37.78285534)
27781902,"PT","PT1","PT18","PT187",c(-7.770210409, 38.57488475)
27781996,"PT","PT1","PT16","PT16I",c(-7.998540491, 39.40049249)
27782150,"PT","PT1","PT16","PT16D",c(-8.39043646, 40.7495085)
27782158,"PT","PT1","PT11","PT11A",c(-8.411425651, 40.81946595)
27782168,"PT","PT1","PT11","PT11A",c(-8.437752325, 40.90689589)
27782284,"PT","PT1","PT11","PT111",c(-8.75063462, 41.91971201)
27801810,"PT","PT1","PT18","PT184",c(-7.532160065, 37.76937439)
27802116,"PT","PT1","PT16","PT16E",c(-8.278962453, 40.45639413)
27802242,"PT","PT1","PT11","PT112",c(-8.612379751, 41.55772311)
27821832,"PT","PT1","PT18","PT184",c(-7.560880299, 37.96728984)
27821838,"PT","PT1","PT18","PT184",c(-7.574821012, 38.02012413)
